pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
1,,bse_cm,,SENSEX,SENSEX,,SENSEX,,,,,SENSEX,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,"The scrip PE is greater than 50 for previous 4 trailing quarters,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,Mandatory Market making period in this scrip is over, exit may be difficult,The scrip is not regularly traded, and exit may be difficult"
12,,bse_cm,,BANKEX,BANKEX,,BANKEX,,,,,BANKEX,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
47,,bse_cm,,SENSEX50,SENSEX50,,SENSEX50,,,,,SENSEX50,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
517380,B,bse_cm,,IGARASHI,IGARASHI,,IGARASHI,INE188B01013,,,,IGARASHI MOTORS INDIA LTD.,,,5,1,-1,-1,2,-1,BSE,,,,,,,,2024-08-01,2024-08-09,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,52365,34915,1,1,1,0,0,1,0,-1,0,0,0,"The scrip PE is greater than 50 for previous 4 trailing quarters,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100"
729076,F,bse_cm,,ICFL24325,ICFL24325,,ICFL24325,INE896L14EP3,,,,ICFL-24-03-26-CP,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,50000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,6e+07,4e+07,1,1,1,0,0,1,0,-1,0,0,0,
540769,A,bse_cm,,NIACL,NIACL,,NIACL,INE470Y01017,,,,The New India Assurance Compan,,,5,1,-1,-1,2,-1,BSE,,,,,,,,2018-07-23,2018-07-29,,,,,,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,19125,12755,1,1,1,0,0,1,0,-1,0,0,0,
956150,F,bse_cm,,848UPPCL27,848UPPCL27,,848UPPCL27,INE540P07178,,,,UPPCL-8.48%-15-03-27-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,100000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.19467e+08,7.96445e+07,1,1,1,0,0,1,0,-1,0,0,0,
977134,F,bse_cm,,885VFL29A,885VFL29A,,885VFL29A,INE448U07307,,,,VFL-8.85%-19-09-29-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,-1,0,0,0,
730519,F,bse_cm,,TPCL101125,TPCL101125,,TPCL101125,INE245A14KM0,,,,TPCL-9-2-26-CP,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,50000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,6e+07,4e+07,1,1,1,0,0,1,0,-1,0,0,0,
810782,G,bse_cm,,675GJ29,675GJ29,,675GJ29,IN1520210122,,,,675GUJSDL29,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,10846,8874,1,1,1,0,0,1,0,-1,0,0,0,
