pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
26000,,nse_cm,,NIFTY,NIFTY,,NIFTY,,,,,NIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26009,,nse_cm,,BANKNIFTY,BANKNIFTY,,BANKNIFTY,,,,,BANKNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26037,,nse_cm,,FINNIFTY,FINNIFTY,,FINNIFTY,,,,,FINNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26074,,nse_cm,,MIDCPNIFTY,MIDCPNIFTY,,MIDCPNIFTY,,,,,MIDCPNIFTY,,,-1,-1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
22208,SG,nse_cm,,735TS30,735TS30-SG,,735TS30-SG,IN4520190211,,,,SDL TS 7.35% 2030,,,1,100,-1,-1,2,-1,NSE,,,1280275200,,1280275200,0,0,0,0,0,101.40-112.07,0,0,1449419740,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,936853.00,100,0,11207,10140,1,1,1,0,0,1,0,8.2397e+07,0,0,936853,
757737,SG,nse_cm,,715MH45,715MH45-SG,,715MH45-SG,IN2220250137,,,,SDL MH 7.15% 2045,,,1,100,-1,-1,2,-1,NSE,,,1436054400,,1436054400,0,0,0,0,0,95.00-105.00,0,0,1449419745,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,
25324,SM,nse_cm,,EXCELLENT,EXCELLENT-SM,,EXCELLENT-SM,INE0Y4801011,,,,EXCELLENT WIRES N PACK L,,,5,1600,-1,-1,2,-1,NSE,,,1411171200,,1411171200,0,0,0,0,0,32.00-48.00,0,0,1449425571,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,146169.00,1600,0,4800,3200,1,1,1,0,0,1,0,4.47e+06,0,0,146169,"Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,The scrip is not regularly traded, and exit may be difficult"
7205,GS,nse_cm,,668GS2031,668GS2031-GS,,668GS2031-GS,IN0020170042,,,,GOI LOAN 6.68% 2031,,,1,1,-1,-1,2,-1,NSE,,,1229472000,,1229472000,0,0,0,0,1426464000,92.81-102.58,0,0,1449419737,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1016443.00,1,0,10258,9281,1,1,1,0,0,1,0,9.32517e+09,0,0,1016443,
6149,YP,nse_cm,,930SFL28,930SFL28-YP,,930SFL28-YP,INE721A07OC7,,,,SEC RED NCD 9.30% SR. II,,,1,1,-1,-1,2,-1,NSE,,,1225929600,,1225929600,0,0,0,0,1450396800,824.00-1236.00,0,0,1449419737,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,315513000,0,1,10575.00,1,0,123600,82400,1,1,1,0,0,1,0,323399,0,0,10575,
13644,EQ,nse_cm,,BANKETFADD,BANKETFADD-EQ,,BANKETFADD,INF740KA1RX3,,,,DSPAMC - DSPBANKETF,,,1,1,-1,-1,2,-1,NSE,,,1357430400,,1357430400,0,0,0,0,0,48.39-72.58,0,0,1449421753,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,1653120.00,1,0,7258,4839,1,1,1,0,0,1,0,1.23561e+08,0,0,1653120,
